end,production_resource_name,start,avail_qty,nominal_power,Total_Capacity,Outage_Factor
2023-05-22 03:45:00+00:00,Alqueva,2023-05-22 03:30:00+00:00,0,127.0,,0.0
2023-05-22 03:45:00+00:00,Alqueva,2023-05-22 03:45:00+00:00,0,127.0,,0.0
2023-05-28 22:00:00+00:00,Alqueva,2023-05-27 15:00:00+00:00,0,127.0,,0.0
2023-05-28 22:15:00+00:00,Alqueva,2023-05-28 22:00:00+00:00,0,127.0,,0.0
2023-05-28 22:15:00+00:00,Alqueva,2023-05-28 22:15:00+00:00,0,127.0,,0.0
2023-05-29 13:15:00+00:00,Alqueva,2023-05-29 13:15:00+00:00,0,127.0,,0.0
2023-05-29 13:30:00+00:00,Alqueva,2023-05-29 13:15:00+00:00,0,127.0,,0.0
2023-05-29 14:00:00+00:00,Alqueva,2023-05-29 13:30:00+00:00,0,127.0,,0.0
2023-05-31 09:00:00+00:00,Alqueva,2023-05-29 14:00:00+00:00,0,127.0,,0.0
2023-05-31 09:15:00+00:00,Alqueva,2023-05-31 09:00:00+00:00,0,127.0,,0.0
2023-05-31 09:15:00+00:00,Alqueva,2023-05-31 09:15:00+00:00,0,127.0,,0.0
2023-06-03 00:30:00+00:00,Alqueva,2023-06-03 00:30:00+00:00,0,127.0,,0.0
2023-06-03 01:00:00+00:00,Alqueva,2023-06-03 00:30:00+00:00,0,127.0,,0.0
2023-06-03 09:00:00+00:00,Alqueva,2023-06-03 01:00:00+00:00,0,127.0,,0.0
2023-06-03 09:30:00+00:00,Alqueva,2023-06-03 09:00:00+00:00,0,127.0,,0.0
2023-06-03 09:30:00+00:00,Alqueva,2023-06-03 09:30:00+00:00,0,127.0,,0.0
2023-06-05 10:30:00+00:00,Alqueva,2023-06-05 10:15:00+00:00,0,127.0,,0.0
2023-06-05 11:00:00+00:00,Alqueva,2023-06-05 10:30:00+00:00,0,127.0,,0.0
2023-06-06 08:30:00+00:00,Alqueva,2023-06-06 07:30:00+00:00,0,254.0,,0.0
2023-06-06 07:30:00+00:00,Alqueva,2023-06-05 11:00:00+00:00,0,127.0,,0.0
2023-06-06 09:00:00+00:00,Alqueva,2023-06-06 08:30:00+00:00,0,127.0,,0.0
2023-06-06 09:15:00+00:00,Alqueva,2023-06-06 09:00:00+00:00,0,254.0,,0.0
2023-06-06 09:30:00+00:00,Alqueva,2023-06-06 09:15:00+00:00,0,127.0,,0.0
2023-06-06 10:00:00+00:00,Alqueva,2023-06-06 09:30:00+00:00,0,127.0,,0.0
2023-06-06 11:00:00+00:00,Alqueva,2023-06-06 10:00:00+00:00,0,127.0,,0.0
2023-06-06 11:30:00+00:00,Alqueva,2023-06-06 11:00:00+00:00,0,127.0,,0.0
2023-06-06 11:30:00+00:00,Alqueva,2023-06-06 11:30:00+00:00,0,127.0,,0.0
2023-06-06 16:15:00+00:00,Alqueva,2023-06-06 16:00:00+00:00,0,127.0,,0.0
2023-06-06 16:15:00+00:00,Alqueva,2023-06-06 16:15:00+00:00,0,127.0,,0.0
2023-06-07 18:30:00+00:00,Alqueva,2023-06-07 18:15:00+00:00,0,127.0,,0.0
2023-06-07 19:00:00+00:00,Alqueva,2023-06-07 18:30:00+00:00,0,127.0,,0.0
2023-06-09 14:00:00+00:00,Alqueva,2023-06-07 19:00:00+00:00,0,127.0,,0.0
