,CCGT,CHP,DAC,H2 turbine,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,onshore wind,power-to-gas,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-01-20 03:00:00,4.3609387139504E-06,0.381675787317187,-0.599998743990767,3.01471125231205E-06,8.20050588101422,1.7527292575309E-06,-3.90379446939192,-19.9499834403309,-0.10900295742005,0.0785397498002228,7.08350193173375,8.84140338780786,-0.0228290884834524,0,0,-7.62258163001661E-06,-7.80477745877306E-06,6.837174869247E-06
2013-01-20 04:00:00,4.3600443753072E-06,0.381675838130564,-0.599998740879548,3.01329091830847E-06,8.209773080268,1.75207939611106E-06,-2.73583602107024,-21.2097280712874,-0.111112653651323,0.0785397467699814,7.0835048719138,8.92602915038527,-0.0228290914991201,0,0,-7.6293972170447E-06,-7.80501147607993E-06,6.7455291838593E-06
2013-01-20 05:00:00,4.35857954352585E-06,0.381690602219578,-0.59999866987642,2.99411060033496E-06,8.12661045606288,1.75114438899904E-06,-2.61098397167257,-21.3564932945026,-0.118445626846994,0.078539745128293,7.08349573184934,9.0384281181708,-0.022828690464084,0,0,-7.63956672375343E-06,-7.80659712199849E-06,6.117884007288E-06
2013-01-20 06:00:00,4.35717821126421E-06,0.381684808514452,-0.599998698138251,2.99404025931172E-06,8.15058431510181,1.75017264583458E-06,-2.63238452335995,-21.3564897517625,-0.129244971314538,0.0785397431143585,7.08349069575242,9.04666122898026,-0.0228286854329374,0,0,-7.64126385723785E-06,-7.80776235649228E-06,6.38153334330775E-06
2013-01-20 07:00:00,4.35561983651776E-06,0.385934281525327,-0.599998387767433,2.99422139725827E-06,8.31948574271597,1.74905229828951E-06,-3.07616298524525,-21.3565125673732,-0.146696161766665,0.0785397527214587,7.08347254494964,9.33478213833925,-0.0228286747528285,0,0,-7.66573516420976E-06,-7.80952883678765E-06,4.82943654945392E-06
2013-01-20 08:00:00,4.36570986939277E-06,0.381675973419498,-0.599998742030321,3.02434229303446E-06,8.36637028996364,1.75364046702775E-06,-4.91022518819768,-20.2804949143888,-0.179575490283418,0.0785397587073028,7.08347220808903,9.6413274411584,-0.0228291533176464,0.441770106164903,-1.42153821494804E-05,-7.6850700585851E-06,-7.80879201772677E-06,6.87345426572616E-06
2013-01-20 09:00:00,4.37277196659865E-06,0.38167590357124,-0.599998744971571,3.03192919491438E-06,8.57907820831708,1.75617633853059E-06,-4.90410918066238,-21.1860043629078,-0.211817005534518,0.0785397804464038,7.08345708807658,9.91866516502236,-0.0228293493938923,0.883375355317671,-1.48763795036976E-05,-7.70452099902741E-06,-7.81281245576793E-06,6.97869273190686E-06
2013-01-20 10:00:00,4.371666909364E-06,0.381675872221218,-0.599998744183764,3.03155009802964E-06,8.50500392339296,1.75529556204963E-06,-0.226816039564188,-21.3440575497432,-0.0545243047114338,0.0785398152000438,7.07981075350086,5.1760270243644,-0.0228294527130762,1.02720126926228,-1.50200383812086E-05,-7.34468944978062E-06,-7.81397350738189E-06,7.02777809527865E-06
2013-01-20 11:00:00,4.36854839493961E-06,0.381675998007462,-0.599998741147801,3.03072590815955E-06,8.64946819797366,1.75402254991232E-06,-0.338764479876667,-21.350291314715,-0.0909657336365819,0.0785398399127444,7.08167033184942,5.29114373946924,-0.0228295437618411,0.92038418883172,-1.48956396581912E-05,-7.37152973326261E-06,-7.82214330195075E-06,6.99304320901234E-06
2013-01-20 12:00:00,4.36581070027986E-06,0.381675856733914,-0.599998741395343,3.02911525080748E-06,8.9262078044662,1.75302061242332E-06,-0.654988460214291,-21.3534071536102,-0.151975504026518,0.0785398498800517,7.07878362813307,5.52731217100457,-0.0228295798968793,0.790712442978177,-1.47770776725529E-05,-7.41496387013285E-06,-7.82793062057863E-06,7.000227951665E-06
2013-01-20 13:00:00,4.36307675071944E-06,0.38168725662558,-0.59999868704412,3.00963069284315E-06,8.94769266135154,1.75199163512143E-06,-0.456847310066051,-21.3564887664735,-0.134594795949569,0.0785398499087838,6.97774044056217,5.44954219431066,-0.0228292853755246,0.735584660234982,-1.43380060350375E-05,-7.41636319423833E-06,-7.82473328729339E-06,6.47319429679857E-06
2013-01-20 14:00:00,4.34605353907048E-06,0.385933687412686,-0.599998390795679,3.00111392492249E-06,9.31893343205277,1.7460565888728E-06,-0.134148074214625,-21.3565107480489,-0.0118638215028462,0.0785398424894897,6.67967946378944,5.20354284885219,-0.0228298960596745,0.458750019242874,-1.29798037790128E-05,-7.46128224866993E-06,-7.85963367161457E-06,5.01835434150587E-06
2013-01-20 15:00:00,4.67068915782358E-06,0.385969059566351,-0.599998321246438,3.24411874765696E-06,10.5276021812824,1.82924897985416E-06,0.00010936876584093,-21.3565049869234,0.0717440722323319,0.0785404940755991,6.50819173790918,4.24479565198101,-0.0228194944989364,0.162393114988877,-1.1771817472645E-05,-6.3655826840261E-06,-6.8027986734478E-06,5.03275871944271E-06
2013-01-20 16:00:00,4.71661769655025E-06,0.385971196651676,-0.599998310619922,3.27589957809552E-06,11.4119904469474,1.83921885267995E-06,0.000194604965509516,-21.3565107030384,0.0717459299198824,0.0785405722555458,6.41854849532304,3.61234743328049,-0.0228184886961313,0,0,-6.17824341782125E-06,-6.65980739074712E-06,4.35965964046742E-06
