,CCGT,CHP,Imports_Exports,OCGT,battery storage,distribution network,hydroelectricity,nuclear,offshore wind,oil,onshore wind,solar,solar curtailment,onshore curtailment,offshore curtailment,V2G
2013-05-11 06:00:00,3.61668213638172E-05,1.38503073256184,-0.914976721582701,1.76000823885261E-06,0.00141022240016629,-52.1504912627155,7.95420514539733,18.6516633097874,17.8584516499709,1.95280298182987E-06,5.57782107888302,1.63702496705391,-4.17416935917563E-05,-3.78715146087143E-05,-1.77304577562154E-05,2.05516388252672E-05
2013-05-11 07:00:00,3.0639022914383E-05,1.03457805684021,-1.06348566878869,1.52789731842661E-06,-0.000174017399511488,-53.9993967595176,6.87034935514321,18.6516458468458,18.5170075123399,1.84355044643171E-06,5.8496086432099,4.14004852944032,-4.72313966814526E-05,-4.98681150956251E-05,-2.3754937806018E-05,2.8275823677649E-05
2013-05-11 08:00:00,3.03408108101918E-05,0.000381729676645063,-3.35643081546556,1.55174865755008E-06,-3.60058531922365E-05,-48.6984172317143,1.63476244469345,18.651643134577,19.5381587233241,1.85488058420139E-06,6.43893178834066,5.79119642165284,-5.12136137650507E-05,-0.0000514749287721001,-2.49631744538306E-05,2.90735560423615E-05
2013-05-11 09:00:00,2.93978926752565E-05,0.000160483448360758,-3.7877279075752,1.49681016412294E-06,-0.919141229132211,-48.4182871987047,1.63446312678697,18.6516371732284,19.7619141117215,1.83046909572542E-06,6.58177084441089,6.49541921850428,-6.19638656107472E-05,-5.49651064190111E-05,-2.69938000404295E-05,3.13174261667296E-05
2013-05-11 10:00:00,2.99820268998873E-05,0.000270308982668666,-10.3167867131806,1.49551859156732E-06,0.882558690988629,-44.805913563363,1.63456457236644,18.6516423508578,20.1520241987009,1.84140287231193E-06,6.57579969793943,7.22604359299514,-6.51817846987048E-05,-5.2006072196347E-05,-2.55151536039193E-05,3.05162633074737E-05
2013-05-11 11:00:00,2.21557267594668E-05,2.23457775286686E-05,-14.4629152417788,1.21557387026492E-06,-0.536488090612169,-41.9466432988431,1.63433247138876,18.5311931950441,20.4962095564964,1.64811087937932E-06,8.19479554665927,8.09018947763919,-0.000241320199663688,-0.000231839028538442,-0.000124521536871271,0.000144155277805175
2013-05-11 12:00:00,2.21772730712531E-05,2.25673419544669E-05,-12.9465361143118,1.21355367275666E-06,-1.99919592578596,-40.5300698995581,1.6343322221509,15.2450837253452,20.7916278271214,1.64855586813524E-06,9.63977565378384,8.16566069288569,-0.000244050821814036,-0.000230598514235301,-0.000126128760156973,0.000145234820816809
2013-05-11 13:00:00,2.21582614102578E-05,2.24575827763688E-05,-13.4578480847606,1.21526451403028E-06,-1.99849903887614,-41.7505574870381,1.6343316700047,16.6113735113846,20.9302036671331,1.6479073999313E-06,10.5862107055135,7.44545056522662,-0.00024985258588058,-0.000231670279608897,-0.000127593326139618,0.000146514123295069
2013-05-11 14:00:00,2.22203151435309E-05,2.13277555260555E-05,-13.9945622163508,1.23028978322002E-06,-1.50186270666705,-44.0555977317642,1.63433272257998,18.5237122238202,21.3231741506371,1.64980546829424E-06,11.3358520761825,6.73560455753361,-0.000240602769695053,-0.000223839008203158,-0.000123010224085931,0.000137609047564288
2013-05-11 15:00:00,2.72087913941482E-05,5.75613721180194E-05,-10.8254168533948,1.42978661037323E-06,-6.37190875365345E-06,-48.6766968586599,1.63438520636911,18.6516106185768,21.852229834307,1.78441639403135E-06,11.8855388845883,5.47854309372595,-7.9470353776258E-05,-6.44123916367914E-05,-3.37195355537574E-05,3.91269447333553E-05
2013-05-11 16:00:00,3.05917780660484E-05,0.00102028675448705,-7.54128009515319,1.54704175581525E-06,1.99087734743828E-05,-53.6242506371104,4.97359571591439,18.6516447132214,21.8555815561074,1.85627740319198E-06,11.9815514827984,3.70230003360793,-5.66706359147234E-05,-4.64386451212968E-05,-2.39891296309906E-05,2.81430159980573E-05
2013-05-11 17:00:00,3.21698005893339E-05,1.35507055079535,-1.23228399122418,1.60602564722344E-06,-3.81498951946992E-05,-59.8954570885145,6.87061463224315,18.6516522385307,21.4318159623222,1.8876299962059E-06,11.0903907116737,1.72839717862422,-4.99850762464678E-05,-4.19166134371022E-05,-2.1282853564287E-05,2.50123247872499E-05
2013-05-11 18:00:00,3.63448518736626E-05,1.34496401792964,3.45767540134295,1.75687013883058E-06,0.551844090878897,-62.5920865793063,6.98585639501528,18.6516636335539,21.0371272181399,1.9650543549965E-06,10.3121655215583,0.25094044049728,-6.24607581657947E-05,-3.46484208287035E-05,-1.73653681659971E-05,2.02032193116204E-05
