Fuel,Technology,Type / Class,Age bin,PowerCapacity,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,RampingCost,PartLoadMin,StartUpTime,CHPType,NoLoadCost_pu,MinEfficiency,CO2Intensity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
LIG,STUR,supercritical,30.00000001,150,0.35280893282292,6.5,8,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,30.00000001,149.9999999999,0.299192034680751,6.5,8,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,30.00000001,7.5,0.299192034680751,6.5,8,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,supercritical,30.00000001,7.4999999999,0.231612820496938,6.5,8,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,9.999999999,400,0.420852097252407,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,9.999999999,399.9999999999,0.393872285091875,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,9.999999999,150,0.393872285091875,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,9.999999999,149.9999999999,0.334014928244865,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,9.999999999,7.5,0.334014928244865,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,9.999999999,7.4999999999,0.258570184535239,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,10,400,0.415674991543087,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,10,399.9999999999,0.389027071133801,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,10,150,0.389027071133801,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,10,149.9999999999,0.329906048656753,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,10,7.5,0.329906048656753,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,10,7.4999999999,0.255389387320833,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
LIG,STUR,Ultra-supercritical,20,400,0.415674991543087,6.5,2.25,0.0329,0.0329,26.85,1.8,0.4,3.5,,,,1.15,,,
