Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Company
,Kraftwerk Walheim,148.0,1.0,DE,,,STUR,HRD,0.4525,8.0,,,,,,,,,,,,,,,,,,,,,,,,,EnBW Energie Baden-Württemberg AG
,Kraftwerk Werdohl-Elverlingsen,186.0,1.0,DE,,,STUR,HRD,0.3525,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Mark-E AG
,Kraftwerk Werdohl-Elverlingsen,310.0,1.0,DE,,,STUR,HRD,0.38,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Mark-E AG
,Gersteinwerk,614.0,1.0,DE,,,STUR,HRD,0.385,8.0,,,,,,,,,,,,,,,,,,,,,,,,,RWE Generation SE
,Wilhelmshaven,757.0,1.0,DE,,,STUR,HRD,0.365,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Uniper Kraftwerke GmbH 
,HKW Nord,123.0,2.0,DE,,,STUR,HRD,0.425,8.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,Volkswagen AG
,HKW West,138.5,1.0,DE,,,STUR,HRD,0.3875,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Volkswagen AG
,HKW West,138.5,1.0,DE,,,STUR,HRD,0.3875,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Volkswagen AG
,HKW Elberfeld ,85.0,1.0,DE,,,STUR,HRD,0.405,8.0,,,,,,,,,,,,,,,,,,,,,,,,,WSW Energie & Wasser AG
,Zolling,472.0,1.0,DE,,,STUR,HRD,0.4525,8.0,,,,,,,,,,,,,,150.0,,,,,,,,,,,ENGIE Deutschland AG
,Reno De Medici,19.0,1.0,DE,,,STUR,HRD,0.2325,8.0,,,,,,,,,,,,,,,,,,,,,,,,,R.D.M. Arnsberg GmbH
,Heizkraftwerk Magirusstraße,20.7,1.0,DE,,,STUR,HRD,0.405,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Fernwärme Ulm GmbH
,Werk Uelzen,40.0,1.0,DE,,,STUR,HRD,0.3375,8.0,,,,,,,,,,,,,,,,,,,,,,,,,Nordzucker AG
,Trianel Kohlekraftwerk Lünen,735.0,1.0,DE,,,STUR,HRD,0.4575,8.0,,,,,,,,,,,,,,35.0,,,,,,,,,,,Trianel Kohlekraftwerk Lünen GmbH & Co. KG
,Moorburg B,800.0,1.0,DE,,,STUR,HRD,0.4625,8.0,,,,,,,,,,,,,,120.0,,,,,,,,,,,Vattenfall Heizkraftwerk Moorburg GmbH
,Moorburg A,800.0,1.0,DE,,,STUR,HRD,0.4625,8.0,,,,,,,,,,,,,,120.0,,,,,,,,,,,Vattenfall Heizkraftwerk Moorburg GmbH
,Kraftwerk Wilhelmshaven,731.0,1.0,DE,,,STUR,HRD,0.4625,8.0,,,,,,,,,,,,,,,,,,,,,,,,,ENGIE Deutschland AG
