,PHOT,WTOF,WTON
2016-01-10 19:00:00,0.0,0.0,0.035447
2016-01-10 19:30:00,0.0,0.0,0.0299315
2016-01-10 20:00:00,0.0,0.0,0.024416
2016-01-10 20:30:00,0.0,0.0,0.0207715
2016-01-10 21:00:00,0.0,0.0,0.017127
2016-01-10 21:30:00,0.0,0.0,0.013116
2016-01-10 22:00:00,0.0,0.0,0.009105
2016-01-10 22:30:00,0.0,0.0,0.0064625
2016-01-10 23:00:00,0.0,0.0,0.00382
2016-01-10 23:30:00,0.0,0.0,0.0028209999999999503
2016-01-11 00:00:00,0.0,0.0,0.0018219999999999
2016-01-11 00:30:00,0.0,0.0,0.0014609999999999502
2016-01-11 01:00:00,0.0,0.0,0.0011
2016-01-11 01:30:00,0.0,0.0,0.001217
2016-01-11 02:00:00,0.0,0.0,0.001334
2016-01-11 02:30:00,0.0,0.0,0.001419
2016-01-11 03:00:00,0.0,0.0,0.001504
2016-01-11 03:30:00,0.0,0.0,0.0022185
2016-01-11 04:00:00,0.0,0.0,0.002933
2016-01-11 04:30:00,0.0,0.0,0.003559
2016-01-11 05:00:00,0.0,0.0,0.004185
2016-01-11 05:30:00,0.0115,0.0,0.00338
2016-01-11 06:00:00,0.023,0.0,0.002575
2016-01-11 06:30:00,0.049,0.0,0.001417
2016-01-11 07:00:00,0.075,0.0,0.000259
2016-01-11 07:30:00,0.0975,0.0,0.00027049999999995003
2016-01-11 08:00:00,0.12,0.0,0.0002819999999999
2016-01-11 08:30:00,0.1375,0.0,0.00071099999999995
2016-01-11 09:00:00,0.155,0.0,0.00114
2016-01-11 09:30:00,0.174,0.0,0.004406
2016-01-11 10:00:00,0.193,0.0,0.007672
